City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,cidreira,BR,23.64,few clouds,-30.1811,-50.2056,Hotel Castelo
5,manzanillo,CU,22.83,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
6,sao filipe,CV,21.85,clear sky,14.8961,-24.4956,Tortuga B&B
8,antsohihy,MG,24.36,scattered clouds,-14.8796,47.9875,Hotel de Ville
9,chuy,UY,21.83,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
11,maceio,BR,23.0,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
14,namibe,AO,22.26,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
15,nkhotakota,MW,23.3,light rain,-12.9274,34.2961,Sitima Inn
18,arraial do cabo,BR,24.47,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
19,beloha,MG,26.97,clear sky,-25.1667,45.05,
24,ewo,CG,22.6,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
27,inhambane,MZ,25.42,overcast clouds,-23.865,35.3833,Oceano
31,barmer,IN,22.18,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
33,saint-philippe,RE,27.78,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,victoria,HK,25.56,few clouds,22.2855,114.1577,Mini Hotel Central
41,bolobo,CD,22.39,few clouds,-2.1667,16.2333,
42,saint-joseph,RE,27.78,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
53,tsiroanomandidy,MG,22.42,scattered clouds,-18.7667,46.0333,
54,hithadhoo,MV,27.79,scattered clouds,-0.6,73.0833,Scoop Guest House
55,altagracia de orituco,VE,20.5,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
59,ambovombe,MG,27.4,few clouds,-25.1667,46.0833,RELAHARA
61,marawi,PH,27.22,overcast clouds,7.9986,124.2928,Derogongan Residence
64,bocanda,CI,22.94,clear sky,7.0626,-4.4995,Hôtel les Résidences Mohyé
69,bonfim,BR,25.39,clear sky,3.0833,-59.95,
76,geraldton,AU,27.0,light rain,-28.7667,114.6,Broadwater Mariner Resort
80,nioaque,BR,24.66,broken clouds,-21.1353,-55.83,Nioaque Novo Hotel
81,souillac,MU,27.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
83,bandarbeyla,SO,22.4,broken clouds,9.4942,50.8122,JABIR HOTEL
85,kaffrine,SN,23.0,clear sky,14.1059,-15.5508,Beuleup counda motel
92,bambous virieux,MU,28.89,light rain,-20.3428,57.7575,Casa Tia Villa
97,rocha,UY,20.36,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
99,monrovia,LR,24.0,light rain,6.3005,-10.7969,Sunset Inn
102,jamundi,CO,23.0,scattered clouds,3.2607,-76.535,CASA CAMPESTRE HABITACIONES 365
104,cap malheureux,MU,28.89,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
106,cayenne,GF,26.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
108,holalkere,IN,23.18,clear sky,14.0333,76.1833,Hotel Sneha Comforts
109,mahebourg,MU,27.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,mongagua,BR,27.22,clear sky,-24.0931,-46.6208,Hostel Aloha Brasil
112,hobyo,SO,23.72,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
116,ipixuna,BR,24.0,clear sky,-1.7625,-48.8043,Casa da Oscarina
118,saint-pierre,RE,27.78,broken clouds,-21.3393,55.4781,Lindsey Hôtel
120,islamkot,PK,22.42,clear sky,24.6997,70.17699999999999,Haji Hotel
122,kavaratti,IN,27.65,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
126,soyo,AO,26.37,moderate rain,-6.1349,12.3689,Hotel Mpampa
130,hualmay,PE,20.81,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
131,madras,IN,26.0,mist,13.0878,80.2785,"Taj Connemara, Chennai"
135,sinnamary,GF,24.83,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
138,bubaque,GW,25.48,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
144,andilamena,MG,20.09,overcast clouds,-17.0167,48.5833,Police men home Andilamina
145,san cristobal,VE,20.05,broken clouds,7.7669,-72.225,Pirineos
146,natal,BR,26.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
150,morwa,IN,23.93,clear sky,22.9,73.8333,mahakali maa hotel
151,kandi,BJ,20.33,clear sky,11.1342,2.9386,Baric Motel De Kandi
152,vila velha,BR,25.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
154,la libertad,EC,25.05,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
162,itarema,BR,25.62,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
171,kalmunai,LK,27.4,broken clouds,7.4167,81.8167,VS Villa
172,cockburn town,TC,25.63,clear sky,21.4612,-71.1419,Osprey Beach Hotel
173,montepuez,MZ,20.73,overcast clouds,-13.1256,38.9997,Complexo Messalo
174,urbano santos,BR,23.81,overcast clouds,-3.2078,-43.4036,Pousada Santa Dulce
