City_ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
0,east london,ZA,-33.0153,27.9116,17.0,77,20,2.06,few clouds
1,ushuaia,AR,-54.8,-68.3,9.0,81,75,4.12,light rain
2,busselton,AU,-33.65,115.3333,30.7,29,0,2.37,clear sky
3,cidreira,BR,-30.1811,-50.2056,23.64,85,24,4.16,few clouds
4,nalut,LY,30.3333,10.85,10.09,66,13,3.54,few clouds
5,manzanillo,CU,20.3433,-77.1167,22.83,79,0,3.61,clear sky
6,sao filipe,CV,14.8961,-24.4956,21.85,79,0,4.9,clear sky
7,hermanus,ZA,-34.4187,19.2345,17.78,65,0,3.58,clear sky
8,antsohihy,MG,-14.8796,47.9875,24.36,88,38,1.88,scattered clouds
9,chuy,UY,-33.6971,-53.4616,21.83,94,3,3.55,clear sky
10,viedma,AR,-40.8135,-62.9967,13.33,83,0,3.76,clear sky
11,maceio,BR,-9.6658,-35.7353,23.0,94,40,4.15,scattered clouds
12,belyy yar,RU,53.6039,91.3903,-26.0,76,36,0.48,fog
13,rakke,EE,58.9817,26.2544,-4.05,99,93,3.95,overcast clouds
14,namibe,AO,-15.1961,12.1522,22.26,77,57,2.25,broken clouds
15,nkhotakota,MW,-12.9274,34.2961,23.3,85,100,1.66,light rain
16,hamilton,US,39.1834,-84.5333,-1.67,86,90,5.14,mist
17,port alfred,ZA,-33.5906,26.891,18.28,75,65,8.33,broken clouds
18,arraial do cabo,BR,-22.9661,-42.0278,24.47,85,86,10.96,overcast clouds
19,beloha,MG,-25.1667,45.05,26.97,78,0,2.76,clear sky
20,diamantina,BR,-18.2494,-43.6003,16.47,98,99,1.49,overcast clouds
21,ponta do sol,PT,32.6667,-17.1,13.33,71,1,1.34,clear sky
22,saint george,US,37.1041,-113.5841,12.0,40,90,4.63,overcast clouds
23,sisimiut,GL,66.9395,-53.6735,-18.01,90,100,4.0,light snow
24,ewo,CG,-0.8725,14.8206,22.6,89,75,1.56,broken clouds
25,longyearbyen,SJ,78.2186,15.6401,-9.0,79,90,5.66,light snow
26,carnarvon,AU,-24.8667,113.6333,34.0,46,75,7.72,broken clouds
27,inhambane,MZ,-23.865,35.3833,25.42,89,100,2.55,overcast clouds
28,dabrowa tarnowska,PL,50.1746,20.9863,-4.44,79,57,1.67,broken clouds
29,codrington,AU,-38.2667,141.9667,17.08,58,76,5.64,broken clouds
30,adrar,MR,20.5022,-10.0711,18.99,23,96,3.4,overcast clouds
31,barmer,IN,25.75,71.3833,22.18,26,0,0.98,clear sky
32,surt,LY,31.2089,16.5887,13.66,51,0,5.33,clear sky
33,saint-philippe,RE,-21.3585,55.7679,27.78,83,75,1.03,light rain
34,victoria,HK,22.2855,114.1577,25.56,64,20,3.09,few clouds
35,klaksvik,FO,62.2266,-6.589,1.0,64,0,2.57,clear sky
36,songea,TZ,-10.6833,35.65,17.09,100,87,1.41,overcast clouds
37,villa carlos paz,AR,-31.4241,-64.4978,16.67,96,100,0.89,light rain
38,kutum,SD,14.2,24.6667,15.1,32,0,2.55,clear sky
39,bredasdorp,ZA,-34.5322,20.0403,16.0,67,1,4.12,clear sky
40,qaanaaq,GL,77.484,-69.3632,-22.06,76,82,2.19,broken clouds
41,bolobo,CD,-2.1667,16.2333,22.39,92,11,0.72,few clouds
42,saint-joseph,RE,-21.3667,55.6167,27.78,83,75,1.03,broken clouds
43,ribeira grande,PT,38.5167,-28.7,14.58,67,100,12.87,overcast clouds
44,nador,MA,35.174,-2.9287,15.0,88,40,4.63,scattered clouds
45,dalvik,IS,65.9702,-18.5286,-7.0,79,0,1.03,clear sky
46,asilah,MA,35.465,-6.0348,12.0,100,75,1.03,fog
47,mehran,IR,33.1222,46.1646,2.0,69,0,3.09,clear sky
48,vardo,NO,70.3705,31.1107,-5.0,86,90,9.77,snow
49,varhaug,NO,58.6147,5.6457,-5.56,92,3,0.51,fog
50,cape town,ZA,-33.9258,18.4232,17.78,67,0,1.03,clear sky
51,dikson,RU,73.5069,80.5464,-24.93,85,99,6.04,overcast clouds
52,czluchow,PL,53.6672,17.3588,-5.56,90,100,7.6,light snow
53,tsiroanomandidy,MG,-18.7667,46.0333,22.42,87,46,0.44,scattered clouds
54,hithadhoo,MV,-0.6,73.0833,27.79,72,31,1.14,scattered clouds
55,altagracia de orituco,VE,9.8601,-66.3814,20.5,84,100,2.17,overcast clouds
56,kinlochleven,GB,56.7115,-4.9661,3.89,67,99,1.79,overcast clouds
57,luneville,FR,48.6,6.5,6.0,87,90,2.57,overcast clouds
58,jamestown,US,42.097,-79.2353,-5.0,93,90,5.66,light snow
59,ambovombe,MG,-25.1667,46.0833,27.4,77,19,2.07,few clouds
60,yining,CN,29.0361,114.5636,15.48,54,0,1.26,clear sky
61,marawi,PH,7.9986,124.2928,27.22,83,100,3.13,overcast clouds
62,clyde river,CA,70.4692,-68.5914,-30.0,63,1,2.57,clear sky
63,zheshart,RU,62.0731,49.5733,-8.9,96,100,3.29,overcast clouds
64,bocanda,CI,7.0626,-4.4995,22.94,92,0,1.28,clear sky
65,iqaluit,CA,63.7506,-68.5145,-30.0,76,40,3.53,scattered clouds
66,albany,US,42.6001,-73.9662,-3.89,84,100,1.79,snow
67,portage,US,41.1667,-81.1998,-3.89,86,90,3.09,light snow
68,comodoro rivadavia,AR,-45.8667,-67.5,20.0,64,0,2.48,clear sky
69,bonfim,BR,3.0833,-59.95,25.39,67,2,3.99,clear sky
70,rasht,IR,37.2808,49.5832,7.0,100,90,0.61,fog
71,agirish,RU,61.9247,63.0231,-9.58,94,4,4.87,clear sky
72,tasiilaq,GL,65.6145,-37.6368,-8.0,79,90,11.83,snow
73,bereda,ES,43.2686,-7.5406,12.22,93,97,8.94,overcast clouds
74,tocopilla,CL,-22.092,-70.1979,19.51,64,57,1.83,broken clouds
75,bengkulu,ID,-3.8004,102.2655,30.1,61,46,3.38,scattered clouds
76,geraldton,AU,-28.7667,114.6,27.0,54,90,8.75,light rain
77,port elizabeth,ZA,-33.918,25.5701,18.0,72,0,4.12,clear sky
78,talcahuano,CL,-36.7167,-73.1167,15.0,88,0,2.57,clear sky
79,georgetown,MY,5.4112,100.3354,30.0,70,20,1.03,few clouds
80,nioaque,BR,-21.1353,-55.83,24.66,84,56,2.07,broken clouds
81,souillac,MU,-20.5167,57.5167,27.0,89,40,5.14,scattered clouds
82,gayny,RU,60.3071,54.3241,-9.43,96,95,3.6,overcast clouds
83,bandarbeyla,SO,9.4942,50.8122,22.4,67,78,8.03,broken clouds
84,vestmannaeyjar,IS,63.4427,-20.2734,3.12,78,100,13.79,overcast clouds
85,kaffrine,SN,14.1059,-15.5508,23.0,28,0,3.32,clear sky
86,praia da vitoria,PT,38.7333,-27.0667,14.44,88,75,9.74,broken clouds
87,coquimbo,CL,-29.9533,-71.3436,15.0,88,0,2.57,clear sky
88,brigantine,US,39.4101,-74.3646,1.67,93,90,6.17,mist
89,castro,BR,-24.7911,-50.0119,18.08,95,100,1.31,overcast clouds
90,punta arenas,CL,-53.15,-70.9167,11.0,71,20,10.8,few clouds
91,lagoa,PT,39.05,-27.9833,14.07,69,100,13.0,overcast clouds
92,bambous virieux,MU,-20.3428,57.7575,28.89,89,40,5.14,light rain
93,chapais,CA,49.7834,-74.8492,-14.0,92,75,1.54,broken clouds
94,laguna,US,38.421,-121.4238,15.0,47,40,3.09,scattered clouds
95,kamenka,RU,51.3223,42.7678,2.78,95,100,5.58,overcast clouds
96,setermoen,NO,68.861,18.3486,-15.0,92,91,2.03,overcast clouds
97,rocha,UY,-34.4833,-54.3333,20.36,96,28,2.75,scattered clouds
98,ostrovnoy,RU,68.0531,39.5131,-7.71,96,100,2.18,light snow
99,monrovia,LR,6.3005,-10.7969,24.0,94,40,2.91,light rain
100,faya,SA,18.3851,42.4509,11.0,93,0,0.38,clear sky
101,gualeguaychu,AR,-33.0094,-58.5172,20.0,91,0,0.45,clear sky
102,jamundi,CO,3.2607,-76.535,23.0,83,40,1.03,scattered clouds
103,tigzirt,DZ,36.8886,4.1198,12.95,83,1,4.93,clear sky
104,cap malheureux,MU,-19.9842,57.6142,28.89,76,12,4.02,few clouds
105,nukus,UZ,42.4531,59.6103,-6.0,86,0,2.06,clear sky
106,cayenne,GF,4.9333,-52.3333,26.0,89,75,2.57,broken clouds
107,troitsko-pechorsk,RU,62.7084,56.1964,-8.5,95,100,5.26,overcast clouds
108,holalkere,IN,14.0333,76.1833,23.18,42,0,5.55,clear sky
109,mahebourg,MU,-20.4081,57.7,27.0,89,40,5.14,light rain
110,mongagua,BR,-24.0931,-46.6208,27.22,69,0,1.03,clear sky
111,la mana,EC,-0.9333,-79.2167,11.0,82,75,6.69,light rain
112,hobyo,SO,5.3505,48.5268,23.72,72,40,8.49,scattered clouds
113,arlit,NE,18.7369,7.3853,14.78,28,0,1.54,clear sky
114,torbay,CA,47.6666,-52.7314,-2.22,86,90,5.66,overcast clouds
115,buwenge,UG,0.6422,33.1744,17.9,82,52,1.45,broken clouds
116,ipixuna,BR,-1.7625,-48.8043,24.0,94,0,1.54,clear sky
117,milford,US,41.2223,-73.0565,1.0,86,90,10.29,snow
118,saint-pierre,RE,-21.3393,55.4781,27.78,83,75,1.03,broken clouds
119,kampene,CD,-3.6,26.6667,19.78,90,100,0.69,overcast clouds
120,islamkot,PK,24.6997,70.177,22.42,35,0,2.66,clear sky
121,leirvik,NO,59.7798,5.5005,-5.56,84,50,1.34,scattered clouds
122,kavaratti,IN,10.5669,72.642,27.65,75,1,4.4,clear sky
123,macusani,PE,-14.0833,-70.4333,4.48,79,100,1.67,overcast clouds
124,olivet,FR,47.8622,1.8991,10.0,100,90,7.72,drizzle
125,stange,NO,60.718,11.1942,-11.11,92,90,2.06,overcast clouds
126,soyo,AO,-6.1349,12.3689,26.37,84,100,3.12,moderate rain
127,nusaybin,TR,37.0778,41.2178,5.0,75,0,4.12,clear sky
128,kokkola,FI,63.8385,23.1307,-23.0,84,90,1.03,fog
129,ilulissat,GL,69.2167,-51.1,-16.0,78,75,9.77,light snow
130,hualmay,PE,-11.0964,-77.6139,20.81,82,80,2.43,broken clouds
131,madras,IN,13.0878,80.2785,26.0,78,40,1.54,mist
132,ouadda,CF,8.0777,22.4007,18.44,40,0,0.66,clear sky
133,rorvik,NO,64.8621,11.2373,-2.95,95,100,3.38,overcast clouds
134,teguise,ES,29.0605,-13.564,15.0,88,0,4.12,clear sky
135,sinnamary,GF,5.3833,-52.95,24.83,86,82,5.76,broken clouds
136,koszalin,PL,54.1944,16.1722,-3.33,81,98,5.06,light snow
137,lebu,CL,-37.6167,-73.65,13.71,86,34,6.25,scattered clouds
138,bubaque,GW,11.2833,-15.8333,25.48,72,53,3.42,broken clouds
139,mar del plata,AR,-38.0023,-57.5575,19.44,94,90,4.12,heavy intensity drizzle
140,thompson,CA,55.7435,-97.8558,-12.0,92,75,1.54,broken clouds
141,nanortalik,GL,60.1432,-45.2371,-5.25,91,18,4.18,few clouds
142,trebukhiv,UA,50.4843,30.903,-7.78,86,0,4.0,clear sky
143,arcos de la frontera,ES,36.7508,-5.8106,12.78,100,90,1.03,overcast clouds
144,andilamena,MG,-17.0167,48.5833,20.09,91,85,2.8,overcast clouds
145,san cristobal,VE,7.7669,-72.225,20.05,73,84,0.27,broken clouds
146,natal,BR,-5.795,-35.2094,26.0,78,40,4.63,scattered clouds
147,tessalit,ML,20.1986,1.0114,15.77,32,14,5.13,few clouds
148,saldanha,ZA,-33.0117,17.9442,19.0,55,0,1.03,clear sky
149,kazanskaya,RU,45.4106,40.4361,5.85,64,44,2.37,scattered clouds
150,morwa,IN,22.9,73.8333,23.93,19,0,3.0,clear sky
151,kandi,BJ,11.1342,2.9386,20.33,21,0,2.5,clear sky
152,vila velha,BR,-20.3297,-40.2925,25.0,83,20,2.06,few clouds
153,nantucket,US,41.2835,-70.0995,6.0,100,90,9.77,mist
